"first_name","last_name","hire_date"
"Eran","Cusworth","1986-11-14"
"Bojan","Zallocco","1986-10-14"
"Nevio","Demizu","1986-05-18"
"Ziva","Vecchi","1986-07-03"
"Mohit","Speek","1986-01-14"
"Qunsheng","Speer","1986-02-13"
"Dines","Encarnacion","1986-08-02"
"Harngdar","Swick","1986-05-28"
"Freyja","Uhrig","1986-12-20"
"Zhenhua","Milicic","1986-08-04"
"Bowen","Schmezko","1986-05-30"
"Reuven","Munke","1986-04-13"
"Stabislas","Domenig","1986-08-04"
"Juichirou","Jumpertz","1986-09-18"
"Juichirou","Ghelli","1986-12-13"
"Shmuel","Georg","1986-11-30"
"Xiadong","Bach","1986-04-29"
"Guangming","Butterworth","1986-10-01"
"Irene","Setia","1986-08-10"
"Shuichi","Swiler","1986-06-08"
