"first_name","last_name","sex"
"Hercules","Baer","M"
"Hercules","Biron","F"
"Hercules","Birge","F"
"Hercules","Berstel","F"
"Hercules","Bernatsky","M"
"Hercules","Bail","F"
"Hercules","Bodoff","M"
"Hercules","Benantar","F"
"Hercules","Baranowski","M"
"Hercules","Basagni","M"
"Hercules","Bernardinello","F"
"Hercules","Bahr","M"
"Hercules","Bisiani","F"
"Hercules","Benzmuller","M"
"Hercules","Bain","F"
"Hercules","Biran","F"
"Hercules","Barreiro","M"
"Hercules","Brendel","F"
"Hercules","Buchter","M"
"Hercules","Baak","M"
